#{"t_start": 1686561729.0546584, "env_id": "CartPole-v1"}
r,l,t
15.0,15,1.069405
25.0,25,1.12803
15.0,15,1.136892
12.0,12,1.183164
50.0,50,1.251182
17.0,17,1.301172
24.0,24,1.315123
25.0,25,1.369299
14.0,14,1.417616
139.0,139,1.658067
128.0,128,1.89187
123.0,123,2.108151
113.0,113,2.279405
185.0,185,2.598872
121.0,121,2.810247
450.0,450,3.761746
124.0,124,3.978796
144.0,144,4.203711
147.0,147,4.467719
165.0,165,4.741514
227.0,227,5.123532
169.0,169,5.410233
176.0,176,5.971233
213.0,213,6.349273
221.0,221,6.730227
500.0,500,7.588009
500.0,500,9.192336
500.0,500,10.035291
500.0,500,11.550666
500.0,500,12.414521
500.0,500,13.240719
500.0,500,14.775876
500.0,500,15.649611
500.0,500,17.110292
500.0,500,18.02317
500.0,500,18.846745
500.0,500,20.377572
500.0,500,21.274676
500.0,500,22.782982
500.0,500,23.672332
500.0,500,24.560781
500.0,500,26.128608
500.0,500,27.031812
